vote,content_type_name,project_id,parent_content_type_name,user_id
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,115148
yes,entry,266,challenge,115148
yes,entry,266,challenge,115148
yes,entry,266,challenge,115148
yes,entry,266,challenge,82673
yes,entry,266,challenge,82673
yes,entry,266,challenge,82673
yes,entry,266,challenge,115155
yes,entry,266,challenge,115155
yes,entry,266,challenge,115155
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,82686
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,115197
yes,entry,266,challenge,115197
yes,entry,266,challenge,115197
yes,entry,266,challenge,115200
yes,entry,266,challenge,115200
yes,entry,266,challenge,115200
yes,entry,266,challenge,115201
yes,entry,266,challenge,115201
yes,entry,266,challenge,115201
yes,entry,266,challenge,115203
yes,entry,266,challenge,115203
yes,entry,266,challenge,115203
yes,entry,266,challenge,115208
yes,entry,266,challenge,115208
yes,entry,266,challenge,115208
yes,entry,266,challenge,115210
yes,entry,266,challenge,115210
yes,entry,266,challenge,115210
yes,entry,266,challenge,115212
yes,entry,266,challenge,115212
yes,entry,266,challenge,115212
yes,entry,266,challenge,115213
yes,entry,266,challenge,115213
yes,entry,266,challenge,115213
yes,entry,266,challenge,115215
yes,entry,266,challenge,115215
yes,entry,266,challenge,115215
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89158
yes,entry,266,challenge,89158
yes,entry,266,challenge,89158
yes,entry,266,challenge,89388
yes,entry,266,challenge,89388
yes,entry,266,challenge,89388
yes,entry,266,challenge,115422
yes,entry,266,challenge,115422
yes,entry,266,challenge,115422
yes,entry,266,challenge,115423
yes,entry,266,challenge,115423
yes,entry,266,challenge,115423
yes,entry,266,challenge,115428
yes,entry,266,challenge,115428
yes,entry,266,challenge,115428
yes,entry,266,challenge,115433
yes,entry,266,challenge,115433
yes,entry,266,challenge,115433
yes,entry,266,challenge,115480
yes,entry,266,challenge,115480
yes,entry,266,challenge,115480
yes,entry,266,challenge,115368
yes,entry,266,challenge,115488
yes,entry,266,challenge,115488
yes,entry,266,challenge,115488
yes,entry,266,challenge,115488
yes,entry,266,challenge,115488
yes,entry,266,challenge,115488
yes,entry,266,challenge,115497
yes,entry,266,challenge,115497
yes,entry,266,challenge,115497
yes,entry,266,challenge,115499
yes,entry,266,challenge,115499
yes,entry,266,challenge,115499
yes,entry,266,challenge,115503
yes,entry,266,challenge,115503
yes,entry,266,challenge,115503
yes,entry,266,challenge,115504
yes,entry,266,challenge,115504
yes,entry,266,challenge,115504
yes,entry,266,challenge,115508
yes,entry,266,challenge,115508
yes,entry,266,challenge,115508
yes,entry,266,challenge,115508
yes,entry,266,challenge,115508
yes,entry,266,challenge,115508
yes,entry,266,challenge,115508
yes,entry,266,challenge,115511
yes,entry,266,challenge,115511
yes,entry,266,challenge,115511
yes,entry,266,challenge,115511
yes,entry,266,challenge,115511
yes,entry,266,challenge,115514
yes,entry,266,challenge,115514
yes,entry,266,challenge,115514
yes,entry,266,challenge,114752
yes,entry,266,challenge,114752
yes,entry,266,challenge,114752
yes,entry,266,challenge,115519
yes,entry,266,challenge,115519
yes,entry,266,challenge,115519
yes,entry,266,challenge,115519
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
