,action,project_ids,user_id
577,follow,266,85457
578,follow,250,85457
579,follow,155,85457
580,follow,149,85457
581,follow,157,85457
582,follow,271,85459
583,follow,271,85459
584,follow,271,85460
585,follow,266,20734
586,follow,250,20734
587,follow,271,85464
588,follow,271,85466
589,follow,271,85467
590,follow,271,85471
591,follow,264,85472
592,follow,267,85472
593,follow,271,85473
594,follow,272,85478
595,follow,267,85478
596,follow,264,85478
597,follow,263,85478
598,follow,208,85478
599,follow,211,85478
600,follow,211,85481
601,follow,267,85481
602,follow,271,85482
603,follow,155,85483
604,follow,149,85483
605,follow,157,85483
606,follow,166,85483
607,follow,250,85483
608,follow,266,85483
609,follow,267,85485
610,follow,211,85485
611,follow,266,85487
612,follow,166,85487
613,follow,155,85487
614,follow,157,85487
615,follow,149,85487
616,follow,271,85491
617,follow,266,85493
618,follow,166,85493
619,follow,157,85493
620,follow,155,85493
621,follow,271,85494
622,follow,271,85367
623,follow,271,85501
624,follow,271,85367
625,follow,272,85367
626,follow,268,85367
627,follow,268,85506
628,follow,271,85508
629,follow,272,85510
630,follow,267,85510
631,follow,264,85510
632,follow,211,85510
633,follow,271,85511
634,follow,268,85511
635,follow,264,85513
636,follow,272,85513
637,follow,267,85513
638,follow,272,85514
639,follow,267,85514
640,follow,268,85514
641,follow,264,85384
642,follow,266,85384
643,follow,267,85384
644,follow,155,69287
645,follow,149,69287
646,follow,271,85531
647,follow,272,85535
648,follow,271,85535
649,follow,267,85535
650,follow,266,85536
651,follow,271,85537
652,follow,271,85540
653,follow,268,85540
654,follow,250,74484
655,follow,157,74484
656,follow,155,74484
657,follow,149,74484
658,follow,155,85544
659,follow,271,85551
660,follow,271,85553
661,follow,267,85554
662,follow,267,85564
663,follow,208,85564
664,follow,272,85565
665,follow,267,85565
666,follow,271,85569
667,follow,266,85570
668,follow,250,85570
669,follow,166,85570
670,follow,155,85570
671,follow,149,85570
672,follow,157,85570
673,follow,272,85571
674,follow,271,85367
675,follow,271,85573
676,follow,271,85577
677,follow,268,85506
678,follow,272,85506
679,follow,271,85579
680,follow,271,85580
681,follow,268,85582
682,follow,272,85583
683,follow,250,85584
684,follow,157,85585
685,follow,266,85585
686,follow,166,85585
687,follow,267,85586
688,follow,271,85587
689,follow,166,85588
690,follow,157,85588
691,follow,250,85588
692,follow,271,85595
693,follow,271,85596
694,follow,268,85597
695,follow,271,85600
696,follow,271,85603
697,follow,271,85604
698,follow,271,85611
699,follow,271,85610
700,follow,271,85614
701,follow,271,85615
702,follow,271,85618
703,follow,271,85619
704,follow,271,85625
705,follow,271,85515
706,follow,268,85515
707,follow,266,85515
708,follow,268,85628
709,follow,271,85634
710,follow,271,85636
711,follow,271,85637
712,follow,271,85638
713,follow,271,85643
714,follow,271,85644
715,follow,271,85645
716,follow,271,85646
717,follow,271,85649
718,follow,271,85651
719,follow,271,85655
720,follow,271,85658
721,follow,271,85659
722,follow,271,85661
723,follow,271,85663
724,follow,271,85665
725,follow,271,85670
726,follow,271,85671
727,follow,211,85677
728,follow,264,85677
729,follow,267,85677
730,follow,272,85677
731,follow,271,85681
732,follow,271,85684
733,follow,271,85685
734,follow,272,85688
735,follow,267,85688
736,follow,264,85688
737,follow,271,85689
738,follow,271,85687
739,follow,271,85690
740,follow,271,85696
741,follow,271,85699
742,follow,271,85698
743,follow,271,85700
744,follow,271,85703
745,follow,271,85708
746,follow,271,85716
747,follow,267,85715
748,follow,264,85715
749,follow,272,85717
750,follow,271,85723
751,follow,271,85724
752,follow,271,85724
753,follow,271,85725
754,follow,271,85741
755,follow,271,85746
756,follow,271,85746
757,follow,271,85752
758,follow,266,85754
759,follow,271,85758
760,follow,272,85760
761,follow,267,85760
762,follow,157,85766
763,follow,149,85766
764,follow,271,85770
765,follow,271,85772
766,follow,271,85773
767,follow,271,85777
768,follow,271,85785
769,follow,271,85795
770,follow,271,85808
771,follow,272,85811
772,follow,267,85811
773,follow,267,85819
774,follow,266,85820
775,follow,166,85820
776,follow,155,85820
777,follow,267,85824
778,follow,264,85824
779,follow,272,85824
780,follow,271,85828
781,follow,271,85830
782,follow,271,85835
783,follow,271,85841
784,follow,272,85841
785,follow,272,85646
786,follow,271,85646
787,follow,268,85646
788,follow,267,85646
789,follow,266,85646
790,follow,271,85848
791,follow,271,85854
792,follow,271,85853
793,follow,271,85858
794,follow,272,85871
795,follow,264,85871
796,follow,267,85871
797,follow,271,85885
798,follow,157,84241
799,follow,155,84241
800,follow,149,84241
801,follow,271,85894
802,follow,271,85901
803,follow,271,85904
804,follow,267,85911
805,follow,157,85913
806,follow,149,85913
807,follow,155,85913
808,follow,166,85913
809,follow,271,85915
810,follow,271,85916
811,follow,272,85916
812,follow,268,85916
813,follow,266,85916
814,follow,266,57213
815,follow,267,57213
816,follow,272,57213
817,follow,271,85923
818,follow,268,85933
819,follow,267,85933
820,follow,272,85933
821,follow,271,85937
822,follow,271,85943
823,follow,155,85944
824,follow,266,85944
825,follow,272,85945
826,follow,266,85945
827,follow,268,85945
828,follow,271,85948
829,follow,271,85949
830,follow,272,85953
831,follow,266,85953
832,follow,271,85954
833,follow,271,85957
834,follow,211,85958
835,follow,264,85958
836,follow,271,85961
837,follow,272,85962
838,follow,271,85963
839,follow,271,85965
840,follow,271,85972
841,follow,271,85973
842,follow,271,72003
843,follow,272,85848
844,follow,271,85848
845,follow,268,85848
846,follow,267,85848
847,follow,266,85848
848,follow,157,86006
849,follow,155,86006
850,follow,149,86006
851,follow,250,86006
852,follow,166,86006
853,follow,266,86006
854,follow,271,86007
855,follow,272,86009
856,follow,166,86075
857,follow,266,86075
858,follow,149,86075
859,follow,267,86099
860,follow,264,86099
861,follow,263,86099
862,follow,208,86099
863,follow,272,86099
864,follow,166,86114
865,follow,250,86114
866,follow,266,86126
867,follow,155,86126
868,follow,267,86127
869,follow,264,86127
870,follow,272,86127
871,follow,264,86143
872,follow,268,86143
873,follow,272,76437
874,follow,267,76437
875,follow,272,86188
876,follow,208,86188
877,follow,263,86188
878,follow,267,86195
879,follow,264,86195
