action,project_ids,user_id
follow,"[272, 271, 268, 267, 266]",85848
follow,"[157, 155, 149, 250, 166, 266]",86006
follow,[271],86007
follow,[272],86009
follow,"[166, 266, 149]",86075
follow,"[267, 264, 263, 208, 272]",86099
follow,"[166, 250]",86114
follow,"[266, 155]",86126
follow,"[267, 264, 272]",86127
follow,"[264, 268]",86143
follow,"[272, 267]",76437
follow,"[272, 208, 263]",86188
follow,"[267, 264, 272, 211]",86195
follow,"[264, 272]",86204
follow,"[267, 272]",86236
follow,"[266, 157, 149, 250]",86262
follow,"[266, 157, 149]",86270
follow,"[266, 157, 149]",86270
follow,[272],86281
follow,[267],86293
follow,"[157, 149, 155, 250, 166, 266]",86296
follow,"[264, 266, 267, 271, 272]",86305
follow,[271],86308
follow,"[211, 208, 267, 272]",86314
follow,"[267, 266]",86365
follow,"[272, 267, 264, 263, 208, 211]",86383
follow,[272],86462
follow,"[250, 166]",86479
follow,[208],86507
follow,[155],86522
follow,"[271, 272, 266, 264, 267, 268]",86530
follow,"[272, 271, 268, 264, 266, 267]",86616
follow,"[149, 155, 157]",86647
follow,[271],86656
follow,[266],86659
follow,[271],86674
follow,[271],86685
follow,"[266, 264]",86687
follow,[271],86694
follow,[271],86700
follow,[271],86706
follow,[271],86711
follow,[271],86715
follow,"[155, 149, 157]",86717
follow,[271],86718
follow,"[272, 271, 268]",86721
follow,[271],86728
follow,[271],86729
follow,[271],86733
follow,"[272, 267, 264]",86745
follow,"[267, 268]",86833
follow,[271],86835
follow,[271],86834
follow,[271],86847
follow,[271],86848
follow,[271],86834
follow,[271],86847
follow,[271],86851
follow,[272],86870
follow,[271],86873
follow,"[264, 208, 263, 272, 267]",86881
follow,[271],86924
follow,[268],69706
follow,[271],86933
follow,[271],85823
follow,[271],86951
follow,[271],86952
follow,[271],86956
follow,"[266, 250, 155, 149, 157, 166]",86958
follow,[271],86960
follow,"[264, 266, 267, 268, 272]",86963
follow,[271],87001
follow,[271],87009
follow,[271],87019
follow,"[271, 266, 267, 268]",85946
follow,"[267, 264]",87047
follow,[271],87051
follow,[271],87052
follow,[266],87068
follow,[271],87072
follow,"[272, 267]",87077
follow,[268],87092
follow,"[271, 268, 267, 266]",87093
follow,[267],87133
follow,[271],87155
follow,"[267, 208]",87170
follow,[271],87240
follow,[268],87261
follow,[271],87276
follow,[271],87282
follow,"[267, 272, 264]",87291
follow,"[272, 271, 268, 267, 266, 264]",80539
follow,"[266, 155, 166]",87304
follow,[266],87309
follow,"[267, 272, 263, 208]",87308
follow,[271],8184
follow,"[250, 155]",87312
follow,"[267, 263, 211, 208, 264, 272]",87326
follow,"[208, 211, 264]",87362
follow,[271],87363
follow,[271],87377
follow,[211],87386
follow,[271],87399
follow,[271],87403
follow,"[272, 267, 266]",87401
follow,"[266, 250, 166, 149, 155, 157]",87405
follow,"[264, 268, 266]",86283
follow,"[266, 166, 155, 157]",87445
follow,[250],87456
follow,"[271, 272]",87467
follow,"[157, 155, 166, 266, 250, 149]",87489
follow,"[208, 267]",87493
follow,[264],7343
follow,"[272, 267]",87581
follow,[271],87659
follow,[271],87747
follow,"[266, 250, 166, 157, 155, 149]",87942
follow,"[266, 264, 267, 268, 271, 272]",87958
follow,[272],87958
follow,[272],87958
follow,"[272, 267, 263]",88015
follow,"[267, 264]",88028
follow,"[271, 268, 266, 264]",79093
follow,"[271, 267, 266]",88049
follow,[272],88073
follow,"[149, 155, 157, 250]",88097
follow,"[266, 264]",88106
follow,[267],88129
follow,[271],88007
follow,"[272, 271, 264, 267, 266]",88184
follow,"[267, 264, 272, 263, 208, 211]",88192
follow,"[157, 149]",88209
follow,"[267, 272, 266, 264]",88210
follow,"[272, 271, 267, 268]",88242
follow,[271],88250
follow,[271],88259
follow,[266],88299
follow,[271],88304
follow,[271],88308
follow,"[272, 268, 264, 271]",88316
follow,"[272, 271, 266]",88321
follow,"[272, 271, 268, 267, 266, 264]",88325
follow,[271],88348
follow,"[272, 271, 268, 266]",88354
follow,[271],88355
follow,"[155, 149, 166, 266]",88364
follow,[271],88369
follow,[271],88304
follow,"[166, 250, 149]",88440
follow,"[272, 268]",88442
follow,"[155, 266]",88445
follow,[266],88467
follow,"[272, 267, 268, 271, 266, 264]",88469
follow,[271],88475
follow,"[155, 266]",88476
follow,"[266, 250, 166, 149, 155, 157]",88483
follow,[272],88480
follow,[271],88484
follow,[271],88304
follow,[271],88488
follow,"[266, 264, 271, 272, 268]",88492
follow,[271],88493
follow,[271],88495
follow,[271],88497
follow,[157],88498
follow,[271],88502
follow,"[266, 250, 155, 149]",88504
follow,"[264, 263, 208, 211]",88505
follow,[271],88508
follow,"[268, 266, 272]",88510
follow,"[272, 271, 268, 264, 266, 267]",83990
follow,[271],88511
follow,[271],88512
follow,"[266, 155]",88514
follow,"[266, 155, 149]",88515
follow,[267],88518
follow,"[267, 211]",88524
follow,[266],88504
follow,[271],88529
follow,[267],88531
follow,[271],88532
follow,"[267, 264, 211, 208, 263, 272]",88535
follow,[271],88537
follow,"[267, 264, 211, 272]",88539
follow,[267],88540
follow,[271],88543
follow,[271],88548
follow,[271],88552
follow,[271],88553
follow,[271],88554
follow,[271],88556
follow,[271],88555
follow,[271],88558
follow,[271],88560
follow,[271],88564
follow,[271],88565
follow,[271],88566
follow,[271],88568
follow,[271],88569
follow,[271],88570
follow,[271],88572
follow,[271],88573
follow,[271],88576
follow,[271],88577
follow,"[266, 157]",88581
follow,[271],88580
follow,[271],88583
follow,[271],88588
follow,[271],88593
follow,[271],88598
follow,[271],88599
follow,[271],88606
follow,[271],88605
follow,[271],88608
follow,"[166, 266, 250, 157, 155, 149]",88612
follow,[271],88615
follow,[271],88613
follow,[271],88615
follow,[271],88625
follow,[271],88631
follow,[271],88630
follow,[271],88632
follow,[271],88640
follow,[271],88641
follow,[271],88643
follow,"[267, 264, 272]",88646
follow,[271],88665
follow,[271],88692
follow,"[266, 272]",88712
follow,[271],88715
follow,[271],88716
follow,[271],88717
follow,[271],88718
follow,"[268, 271]",88731
follow,[271],88759
follow,"[271, 272, 268, 267, 266, 264]",88763
follow,[271],88764
follow,"[268, 267, 266, 264]",88771
follow,"[250, 166, 157, 149, 266, 155]",88782
follow,"[266, 166, 155]",88784
follow,[271],88788
follow,[271],88792
follow,[271],88793
follow,[271],88798
follow,"[271, 268, 266]",88805
follow,"[268, 272, 271, 267, 266, 264]",88817
follow,"[272, 271, 267, 266, 264, 268]",88828
follow,[271],88829
follow,"[268, 271]",88861
follow,"[271, 268]",88861
follow,[271],88861
follow,[266],88868
follow,"[272, 271, 267, 266, 264]",88873
follow,"[268, 266, 271, 272]",88900
follow,"[267, 272, 271, 266]",88906
follow,"[272, 271, 268, 267, 266, 264]",88910
follow,"[157, 166, 155, 149, 266, 250]",88920
follow,[271],88932
follow,[266],88951
follow,"[266, 157, 155]",88961
follow,"[268, 267, 266, 264]",88985
follow,"[271, 272, 266, 267]",88996
follow,"[266, 157, 155]",89009
follow,"[267, 266, 264]",89028
follow,[266],89037
follow,"[266, 250, 166, 157, 155]",89039
follow,[266],89034
follow,[266],89034
follow,[266],89034
follow,[266],89041
follow,[266],89045
follow,"[272, 271, 267, 266]",89051
follow,"[266, 264, 272]",89056
follow,"[266, 157, 155, 149, 250]",89058
follow,"[155, 149, 157, 166]",89074
follow,[271],89076
follow,"[266, 264, 272]",89084
follow,"[250, 166]",89089
follow,"[266, 155]",89115
follow,"[267, 264, 272]",89122
follow,"[266, 155, 149, 157, 166, 250]",89130
follow,[266],89134
follow,[271],89139
follow,"[271, 272]",89167
follow,[271],72003
follow,"[264, 266, 267, 271]",89186
follow,[271],89192
follow,[271],89208
follow,"[271, 266]",89217
follow,[266],89220
follow,"[272, 271]",89221
follow,[271],89229
follow,[271],89238
follow,"[266, 155, 250]",89250
follow,[272],89261
follow,[268],89289
follow,"[157, 250]",89292
follow,"[157, 266, 250]",89295
follow,"[272, 266, 267, 268, 271]",89294
follow,[272],89305
follow,"[267, 268, 266, 264]",89314
follow,"[272, 271, 268, 266, 267]",88609
follow,"[272, 271, 268, 264, 266, 267]",89325
follow,[266],89327
follow,"[267, 208]",89329
follow,"[250, 166, 266, 157, 155, 149]",89333
follow,"[250, 166, 157, 155, 149]",89337
follow,"[266, 155]",89341
follow,[271],89358
follow,[271],89367
follow,"[268, 267, 272]",89380
follow,"[149, 155, 157]",89384
follow,[266],89386
follow,"[272, 268, 266]",89402
follow,[266],89412
follow,[272],65770
follow,"[272, 271, 268, 267, 266, 264]",89440
follow,[271],89444
follow,"[271, 272, 268, 266]",89443
follow,"[268, 272, 266]",89454
follow,[271],89462
follow,"[271, 266, 267]",89468
follow,[271],89493
follow,[271],89510
follow,"[272, 271, 268, 267, 266, 264]",89520
follow,"[266, 267, 271, 272]",89543
follow,[266],89545
follow,"[266, 149, 155]",89548
